school,season,game_id,win,sets_won,total_points,attack_success,attack_attempted,block_success,block_attempted,serve_success,serve_attempted,dig_success,dig_attempted,receive_success,receive_attempted,set_success,set_attempted
NATIONAL UNIVERSITY,87,24,1,3,112,64 , 217,10 , 69,10 , 111,43 , 189,29 , 93,24 , 180
FAR EASTERN UNIVERSITY,87,24,0,2,97,58 , 207,8 , 76,3 , 98,50 , 180,40 , 97,22 , 173
UNIVERSITY OF THE PHILIPPINES,87,23,0,0,58,30 , 109,3 , 50,5 , 60,25 , 88,18 , 63,10 , 96
ATENEO DE MANILA UNIVERSITY,87,23,1,3,75,48 , 112,5 , 35,6 , 74,35 , 107,13 , 52,17 , 102
DE LA SALLE UNIVERSITY,87,18,1,3,76,40 , 124,7 , 43,7 , 75,25 , 98,15 , 60,16 , 107
ADAMSON UNIVERSITY,87,18,0,0,65,34 , 121,0 , 39,3 , 66,33 , 111,12 , 64,11 , 98
UNIVERSITY OF STO. TOMAS,87,19,1,3,100,57 , 198,15 , 80,6 , 99,35 , 158,17 , 83,20 , 168
UNIVERSITY OF THE EAST,87,19,0,1,89,44 , 194,4 , 65,12 , 90,39 , 187,22 , 88,12 , 157
UNIVERSITY OF THE PHILIPPINES,87,16,1,3,98,60 , 161,10 , 63,7 , 97,30 , 143,21 , 81,24 , 145
FAR EASTERN UNIVERSITY,87,16,0,1,88,48 , 172,8 , 70,6 , 89,34 , 137,29 , 88,24 , 156
ATENEO DE MANILA UNIVERSITY,87,14,0,0,57,38 , 127,0 , 26,0 , 59,25 , 115,23 , 66,11 , 113
NATIONAL UNIVERSITY,87,14,1,3,75,42 , 116,10 , 48,5 , 73,25 , 99,19 , 53,19 , 92
NATIONAL UNIVERSITY,87,7,1,3,75,47 , 122,6 , 35,4 , 74,37 , 105,19 , 58,20 , 100
DE LA SALLE UNIVERSITY,87,7,0,0,62,32 , 120,4 , 45,4 , 63,10 , 104,29 , 66,10 , 105
ATENEO DE MANILA UNIVERSITY,87,6,0,2,89,48 , 179,5 , 44,2 , 89,14 , 174,15 , 90,9 , 151
ADAMSON UNIVERSITY,87,6,1,3,106,56 , 162,17 , 76,5 , 106,25 , 139,17 , 75,10 , 138
FAR EASTERN UNIVERSITY,87,3,1,3,91,54 , 159,15 , 68,3 , 90,39 , 125,18 , 74,12 , 144
UNIVERSITY OF STO. TOMAS,87,3,0,1,78,37 , 167,7 , 58,4 , 79,33 , 132,16 , 76,9 , 130
UNIVERSITY OF THE EAST,87,12,0,2,106,55 , 221,9 , 74,5 , 106,48 , 196,19 , 93,7 , 195
UNIVERSITY OF THE PHILIPPINES,87,12,1,3,103,59 , 224,10 , 80,3 , 103,46 , 184,13 , 98,7 , 200
NATIONAL UNIVERSITY,86,129,1,3,100,59 , 161,13 , 69,5 , 99,34 , 131,35 , 77,17 , 144
UNIVERSITY OF STO. TOMAS,86,129,0,1,89,58 , 166,6 , 58,1 , 90,49 , 149,42 , 88,17 , 143
UNIVERSITY OF STO. TOMAS,86,127,0,0,63,41 , 146,1 , 40,2 , 65,41 , 122,28 , 62,15 , 130
NATIONAL UNIVERSITY,86,127,1,3,75,47 , 137,7 , 61,3 , 73,31 , 114,26 , 61,18 , 117
FAR EASTERN UNIVERSITY,86,125,0,0,53,33 , 132,6 , 35,1 , 55,38 , 112,17 , 66,16 , 113
NATIONAL UNIVERSITY,86,125,1,3,77,41 , 122,9 , 47,10 , 75,36 , 105,21 , 50,15 , 100
DE LA SALLE UNIVERSITY,86,122,0,2,97,53 , 193,15 , 98,4 , 97,48 , 165,28 , 89,14 , 166
UNIVERSITY OF STO. TOMAS,86,122,1,3,100,63 , 209,10 , 53,5 , 100,41 , 182,37 , 90,19 , 181
NATIONAL UNIVERSITY,86,120,0,0,63,34 , 123,7 , 44,2 , 64,24 , 104,17 , 61,14 , 107
FAR EASTERN UNIVERSITY,86,120,1,3,75,36 , 121,7 , 39,7 , 74,29 , 98,32 , 55,16 , 103
UNIVERSITY OF STO. TOMAS,86,118,1,3,97,56 , 154,7 , 51,8 , 96,34 , 147,13 , 70,11 , 135
DE LA SALLE UNIVERSITY,86,118,0,1,79,48 , 158,6 , 69,5 , 79,20 , 117,17 , 89,11 , 133
UNIVERSITY OF THE PHILIPPINES,86,116,0,1,89,51 , 183,8 , 85,4 , 90,34 , 148,15 , 88,14 , 163
UNIVERSITY OF THE EAST,86,116,1,3,100,62 , 193,8 , 60,2 , 99,39 , 169,16 , 78,12 , 170
NATIONAL UNIVERSITY,86,114,1,3,75,48 , 124,5 , 30,3 , 73,41 , 111,29 , 56,15 , 109
FAR EASTERN UNIVERSITY,86,114,0,0,62,38 , 126,4 , 40,2 , 64,24 , 107,24 , 64,9 , 108
ATENEO DE MANILA UNIVERSITY,86,113,1,3,75,33 , 110,6 , 49,3 , 73,35 , 109,14 , 43,14 , 98
ADAMSON UNIVERSITY,86,113,0,0,51,27 , 125,9 , 41,1 , 52,27 , 99,31 , 69,8 , 113
DE LA SALLE UNIVERSITY,86,110,1,3,75,39 , 91,11 , 46,4 , 73,31 , 76,19 , 38,17 , 85
ATENEO DE MANILA UNIVERSITY,86,110,0,0,42,25 , 107,2 , 32,3 , 44,35 , 94,26 , 68,10 , 99
UNIVERSITY OF THE EAST,86,109,0,0,45,22 , 95,1 , 40,1 , 46,27 , 109,21 , 61,10 , 80
UNIVERSITY OF STO. TOMAS,86,109,1,3,75,49 , 110,2 , 36,9 , 74,32 , 85,20 , 42,19 , 96
ADAMSON UNIVERSITY,86,106,0,0,48,29 , 108,2 , 35,2 , 49,21 , 88,26 , 63,10 , 102
NATIONAL UNIVERSITY,86,106,1,3,75,51 , 99,4 , 36,3 , 74,25 , 75,13 , 44,15 , 93
FAR EASTERN UNIVERSITY,86,105,1,3,102,54 , 175,12 , 63,2 , 101,42 , 143,30 , 81,19 , 143
UNIVERSITY OF THE PHILIPPINES,86,105,0,1,91,53 , 175,5 , 61,7 , 92,36 , 141,32 , 87,14 , 154
UNIVERSITY OF THE EAST,86,102,0,1,75,36 , 174,11 , 71,6 , 77,45 , 164,31 , 85,11 , 150
FAR EASTERN UNIVERSITY,86,102,1,3,97,64 , 185,6 , 53,4 , 96,45 , 141,23 , 73,22 , 156
DE LA SALLE UNIVERSITY,86,101,1,3,92,50 , 142,12 , 53,1 , 91,27 , 125,25 , 72,19 , 118
ADAMSON UNIVERSITY,86,101,0,1,77,48 , 155,3 , 47,4 , 78,41 , 133,31 , 79,15 , 136
NATIONAL UNIVERSITY,86,98,1,3,97,59 , 165,3 , 47,3 , 96,39 , 133,32 , 77,15 , 138
DE LA SALLE UNIVERSITY,86,98,0,1,86,51 , 166,6 , 65,0 , 87,30 , 126,28 , 85,15 , 139
UNIVERSITY OF THE EAST,86,97,0,1,81,48 , 179,7 , 73,1 , 82,56 , 153,43 , 86,11 , 144
ATENEO DE MANILA UNIVERSITY,86,97,1,3,98,67 , 192,9 , 51,2 , 97,59 , 175,41 , 79,19 , 166
FAR EASTERN UNIVERSITY,86,94,1,3,105,53 , 185,10 , 82,6 , 103,48 , 155,39 , 87,21 , 162
UNIVERSITY OF STO. TOMAS,86,94,0,2,99,53 , 192,12 , 70,7 , 100,53 , 166,46 , 91,18 , 168
ADAMSON UNIVERSITY,86,93,1,3,108,63 , 210,8 , 74,2 , 107,57 , 176,38 , 94,17 , 168
UNIVERSITY OF THE PHILIPPINES,86,93,0,2,103,56 , 199,16 , 89,5 , 104,44 , 161,40 , 92,14 , 172
ATENEO DE MANILA UNIVERSITY,86,90,0,0,53,27 , 117,4 , 35,1 , 54,29 , 102,24 , 63,10 , 108
NATIONAL UNIVERSITY,86,90,1,3,75,43 , 116,5 , 39,6 , 74,47 , 96,29 , 43,17 , 95
UNIVERSITY OF THE PHILIPPINES,86,89,0,1,72,41 , 157,8 , 77,1 , 73,28 , 125,32 , 90,13 , 140
UNIVERSITY OF STO. TOMAS,86,89,1,3,103,68 , 163,9 , 55,4 , 102,56 , 141,22 , 67,21 , 145
DE LA SALLE UNIVERSITY,86,86,1,3,108,66 , 184,11 , 78,6 , 105,47 , 141,34 , 93,23 , 164
UNIVERSITY OF THE EAST,86,86,0,2,102,55 , 186,9 , 58,7 , 102,27 , 166,43 , 101,11 , 150
ADAMSON UNIVERSITY,86,85,0,0,65,37 , 133,6 , 45,4 , 66,30 , 119,26 , 67,10 , 109
FAR EASTERN UNIVERSITY,86,85,1,3,75,46 , 118,11 , 63,2 , 74,22 , 94,21 , 61,15 , 97
FAR EASTERN UNIVERSITY,86,82,1,3,94,60 , 178,8 , 82,2 , 93,68 , 147,30 , 78,27 , 147
ATENEO DE MANILA UNIVERSITY,86,82,0,1,87,47 , 202,7 , 62,11 , 88,66 , 175,36 , 85,18 , 180
UNIVERSITY OF THE PHILIPPINES,86,81,0,1,95,56 , 181,4 , 74,3 , 95,50 , 169,29 , 89,18 , 160
DE LA SALLE UNIVERSITY,86,81,1,3,102,64 , 195,8 , 60,7 , 101,58 , 159,39 , 89,23 , 176
UNIVERSITY OF STO. TOMAS,86,78,1,3,98,64 , 182,3 , 87,5 , 97,63 , 152,40 , 78,21 , 157
ADAMSON UNIVERSITY,86,78,0,1,89,59 , 188,5 , 79,2 , 90,58 , 162,41 , 92,15 , 160
NATIONAL UNIVERSITY,86,77,1,3,75,47 , 107,10 , 49,6 , 74,41 , 95,21 , 35,16 , 89
UNIVERSITY OF THE EAST,86,77,0,0,40,26 , 122,0 , 28,0 , 41,34 , 108,21 , 69,6 , 109
UNIVERSITY OF STO. TOMAS,86,74,0,1,83,51 , 139,4 , 54,2 , 84,30 , 124,37 , 86,14 , 121
NATIONAL UNIVERSITY,86,74,1,3,98,58 , 142,10 , 63,13 , 97,38 , 113,36 , 72,16 , 126
UNIVERSITY OF THE PHILIPPINES,86,73,0,0,49,25 , 112,4 , 48,1 , 51,28 , 93,30 , 65,12 , 91
ATENEO DE MANILA UNIVERSITY,86,73,1,3,75,41 , 115,7 , 41,6 , 73,28 , 97,19 , 43,10 , 102
DE LA SALLE UNIVERSITY,86,70,1,3,75,42 , 114,7 , 40,4 , 73,21 , 92,19 , 54,16 , 98
FAR EASTERN UNIVERSITY,86,70,0,0,58,32 , 117,3 , 37,4 , 60,20 , 89,17 , 63,12 , 104
UNIVERSITY OF THE EAST,86,69,1,3,99,55 , 197,8 , 83,5 , 98,37 , 157,27 , 80,11 , 175
ADAMSON UNIVERSITY,86,69,0,1,87,45 , 203,8 , 69,4 , 88,42 , 161,20 , 86,8 , 177
ATENEO DE MANILA UNIVERSITY,86,66,0,2,106,72 , 232,5 , 87,3 , 107,70 , 205,25 , 101,22 , 204
UNIVERSITY OF STO. TOMAS,86,66,1,3,116,66 , 206,14 , 107,7 , 115,59 , 169,38 , 94,30 , 170
NATIONAL UNIVERSITY,86,65,1,3,105,71 , 181,7 , 56,7 , 104,43 , 130,46 , 85,25 , 163
UNIVERSITY OF THE PHILIPPINES,86,65,0,1,89,40 , 154,15 , 69,2 , 90,36 , 149,28 , 91,12 , 132
UNIVERSITY OF THE PHILIPPINES,86,62,1,3,95,56 , 159,13 , 78,10 , 94,44 , 128,36 , 75,13 , 143
UNIVERSITY OF THE EAST,86,62,0,1,83,51 , 171,7 , 54,2 , 84,57 , 160,36 , 86,16 , 149
FAR EASTERN UNIVERSITY,86,61,1,3,97,49 , 169,15 , 85,3 , 96,57 , 146,30 , 72,15 , 138
ATENEO DE MANILA UNIVERSITY,86,61,0,1,81,52 , 199,2 , 44,1 , 82,61 , 183,33 , 92,14 , 183
ADAMSON UNIVERSITY,86,58,0,1,84,48 , 217,9 , 106,1 , 85,51 , 178,40 , 94,15 , 182
UNIVERSITY OF STO. TOMAS,86,58,1,3,100,60 , 211,4 , 91,4 , 99,61 , 179,31 , 75,22 , 191
DE LA SALLE UNIVERSITY,86,57,1,3,98,57 , 177,13 , 78,4 , 97,29 , 151,39 , 88,22 , 152
NATIONAL UNIVERSITY,86,57,0,2,100,68 , 194,7 , 61,4 , 101,53 , 167,42 , 85,22 , 157
ATENEO DE MANILA UNIVERSITY,86,54,1,3,97,69 , 178,4 , 52,6 , 97,49 , 150,30 , 80,15 , 167
ADAMSON UNIVERSITY,86,54,0,1,86,52 , 169,5 , 80,0 , 87,45 , 155,26 , 81,13 , 138
UNIVERSITY OF STO. TOMAS,86,53,1,3,76,52 , 149,1 , 39,7 , 75,41 , 129,29 , 62,18 , 120
UNIVERSITY OF THE PHILIPPINES,86,53,0,0,66,34 , 117,10 , 67,2 , 68,33 , 110,16 , 63,17 , 95
UNIVERSITY OF THE PHILIPPINES,86,50,0,0,50,34 , 136,2 , 43,1 , 52,39 , 129,22 , 68,8 , 113
DE LA SALLE UNIVERSITY,86,50,1,3,75,42 , 137,9 , 38,4 , 73,34 , 116,21 , 48,16 , 112
UNIVERSITY OF THE EAST,86,49,0,0,48,21 , 124,2 , 41,1 , 49,36 , 121,14 , 63,9 , 99
NATIONAL UNIVERSITY,86,49,1,3,75,44 , 127,6 , 40,7 , 72,34 , 98,17 , 46,17 , 110
ADAMSON UNIVERSITY,86,46,0,0,52,30 , 143,5 , 48,2 , 54,49 , 125,27 , 66,14 , 130
FAR EASTERN UNIVERSITY,86,46,1,3,75,50 , 132,4 , 65,3 , 73,45 , 114,22 , 49,20 , 116
UNIVERSITY OF STO. TOMAS,86,45,1,3,75,50 , 120,6 , 62,8 , 75,39 , 101,23 , 52,19 , 102
ATENEO DE MANILA UNIVERSITY,86,45,0,0,54,28 , 126,2 , 34,5 , 54,33 , 129,18 , 68,9 , 115
FAR EASTERN UNIVERSITY,86,42,0,1,79,43 , 155,4 , 62,4 , 80,38 , 133,30 , 76,13 , 131
NATIONAL UNIVERSITY,86,42,1,3,88,58 , 163,10 , 54,6 , 87,58 , 131,32 , 77,23 , 149
UNIVERSITY OF THE EAST,86,41,0,0,49,25 , 120,3 , 33,0 , 51,42 , 129,15 , 61,6 , 105
DE LA SALLE UNIVERSITY,86,41,1,3,75,45 , 125,10 , 44,6 , 73,44 , 101,24 , 46,18 , 99
UNIVERSITY OF STO. TOMAS,86,38,1,3,108,71 , 197,10 , 75,11 , 108,44 , 153,45 , 93,25 , 172
FAR EASTERN UNIVERSITY,86,38,0,2,100,51 , 176,7 , 91,2 , 100,38 , 155,35 , 89,21 , 146
UNIVERSITY OF THE EAST,86,37,0,1,93,50 , 226,4 , 73,5 , 94,50 , 189,33 , 93,12 , 197
ADAMSON UNIVERSITY,86,37,1,3,105,59 , 219,7 , 77,4 , 104,51 , 190,35 , 84,18 , 191
